Thomas S. Huang , Xiang Sean Zhou
Larry Matthies , Yalin Xiong
Clark F. Olson , Larry Matthies
Matthew E. Antone , Seth J. Teller
Gregory Dudek , Robert Sim
Allan D. Jepson , David J. Fleet
Allan D. Jepson , Thomas F. El-Maraghi
David J. Fleet , Thomas F. El-Maraghi
Aaron F. Bobick , Amos Y. Johnson
Ismail Haritaoglu , Myron Flickner
Gregory Shakhnarovich , Lily Lee
Gregory Shakhnarovich , Trevor Darrell
Lily Lee , Trevor Darrell
Bill Triggs , Cristian Sminchisescu
Ivana Mikic , Mohan M. Trivedi
Edward Hunter , Ivana Mikic
Ivana Mikic , Pamela C. Cosman
Edward Hunter , Mohan M. Trivedi
Mohan M. Trivedi , Pamela C. Cosman
Edward Hunter , Pamela C. Cosman
Andy Tsai , Anthony J. Yezzi
Andy Tsai , William M. Wells III
Andy Tsai , Clare M. Tempany
Andy Tsai , Dewey Tucker
Andy Tsai , Ayres C. Fan
Andy Tsai , W. Eric L. Grimson
Alan S. Willsky , Andy Tsai
Anthony J. Yezzi , William M. Wells III
Anthony J. Yezzi , Clare M. Tempany
Anthony J. Yezzi , Dewey Tucker
Anthony J. Yezzi , Ayres C. Fan
Anthony J. Yezzi , W. Eric L. Grimson
Alan S. Willsky , Anthony J. Yezzi
Clare M. Tempany , William M. Wells III
Dewey Tucker , William M. Wells III
Ayres C. Fan , William M. Wells III
W. Eric L. Grimson , William M. Wells III
Alan S. Willsky , William M. Wells III
Clare M. Tempany , Dewey Tucker
Ayres C. Fan , Clare M. Tempany
Clare M. Tempany , W. Eric L. Grimson
Alan S. Willsky , Clare M. Tempany
Ayres C. Fan , Dewey Tucker
Dewey Tucker , W. Eric L. Grimson
Alan S. Willsky , Dewey Tucker
Ayres C. Fan , W. Eric L. Grimson
Alan S. Willsky , Ayres C. Fan
Alan S. Willsky , W. Eric L. Grimson
Achi Brandt , Eitan Sharon
Eitan Sharon , Ronen Basri
Achi Brandt , Ronen Basri
Eric N. Mortensen , William A. Barrett
Cristian Sminchisescu , Dimitris N. Metaxas
Cristian Sminchisescu , Sven J. Dickinson
Dimitris N. Metaxas , Sven J. Dickinson
Danny B. Yang , Lorenzo Torresani
Eugene J. Alexander , Lorenzo Torresani
Christoph Bregler , Lorenzo Torresani
Danny B. Yang , Eugene J. Alexander
Christoph Bregler , Danny B. Yang
Christoph Bregler , Eugene J. Alexander
Patrick Bouthemy , Ronan Fablet
Michael J. Jones , Paul A. Viola
Jeffrey Ho , Kuang-Chih Lee
David J. Kriegman , Kuang-Chih Lee
David J. Kriegman , Jeffrey Ho
Diego A. Socolinsky , Lawrence B. Wolff
Diego A. Socolinsky , Joshua D. Neuheisel
Christopher K. Eveland , Diego A. Socolinsky
Joshua D. Neuheisel , Lawrence B. Wolff
Christopher K. Eveland , Lawrence B. Wolff
Christopher K. Eveland , Joshua D. Neuheisel
J. Ross Beveridge , Kai She
Bruce A. Draper , J. Ross Beveridge
Geof H. Givens , J. Ross Beveridge
Bruce A. Draper , Kai She
Geof H. Givens , Kai She
Bruce A. Draper , Geof H. Givens
Yong Rui , Yunqiang Chen
Thomas S. Huang , Yunqiang Chen
Thomas S. Huang , Yong Rui
Martial Hebert , Shyjan Mahamud
Jianbo Shi , Shyjan Mahamud
Jianbo Shi , Martial Hebert
Tien-Tsin Wong , Zhouchen Lin
Heung-Yeung Shum , Zhouchen Lin
Heung-Yeung Shum , Tien-Tsin Wong
Melissa L. Koudelka , Peter N. Belhumeur
Melissa L. Koudelka , Sebastian Magda
David J. Kriegman , Melissa L. Koudelka
Peter N. Belhumeur , Sebastian Magda
David J. Kriegman , Peter N. Belhumeur
David J. Kriegman , Sebastian Magda
Cornelia Ferm&uuml;ller , Patrick Baker
Patrick Baker , Yiannis Aloimonos
Patrick Baker , Robert Pless
Cornelia Ferm&uuml;ller , Yiannis Aloimonos
Cornelia Ferm&uuml;ller , Robert Pless
Robert Pless , Yiannis Aloimonos
R. Andrew Hicks , Ronald K. Perline
Charles R. Dyer , Russell A. Manning
Gerald Schaefer , Graham D. Finlayson
Alexander C. Berg , Jitendra Malik
Alexey Zalesny , Luc J. Van Gool
Anat Levin , Lior Wolf
Amnon Shashua , Anat Levin
Amnon Shashua , Lior Wolf
Ariel Tankus , Yehezkel Yeshurun
Arno Sch&ouml;dl , Irfan A. Essa
Alex Rav-Acha , Assaf Zomet
Assaf Zomet , Shmuel Peleg
Alex Rav-Acha , Shmuel Peleg
Behrooz Kamgar-Parsi , Behzad Kamgar-Parsi
Bernd Heisele , Thomas Serre
Bernd Heisele , Massimiliano Pontil
Bernd Heisele , Tomaso Poggio
Massimiliano Pontil , Thomas Serre
Thomas Serre , Tomaso Poggio
Massimiliano Pontil , Tomaso Poggio
Caihua Wang , Hideki Tanahashi
Caihua Wang , Hidekazu Hirayu
Caihua Wang , Yoshinori Niwa
Caihua Wang , Kazuhiko Yamamoto
Hidekazu Hirayu , Hideki Tanahashi
Hideki Tanahashi , Yoshinori Niwa
Hideki Tanahashi , Kazuhiko Yamamoto
Hidekazu Hirayu , Yoshinori Niwa
Hidekazu Hirayu , Kazuhiko Yamamoto
Kazuhiko Yamamoto , Yoshinori Niwa
Daming Shi , Steve R. Gunn
Daming Shi , Robert I. Damper
Robert I. Damper , Steve R. Gunn
Dariu Gavrila , Jan Giebel
Dennis Strelow , Jeffrey Mishler
David Koes , Dennis Strelow
Dennis Strelow , Sanjiv Singh
David Koes , Jeffrey Mishler
Jeffrey Mishler , Sanjiv Singh
David Koes , Sanjiv Singh
Anders Heyden , Du Q. Huynh
Efstathios Hadjidemetriou , Michael D. Grossberg
Efstathios Hadjidemetriou , Shree K. Nayar
Michael D. Grossberg , Shree K. Nayar
Feng Su , Jiqiang Song
Chiew-Lan Tai , Feng Su
Feng Su , Shijie Cai
Chiew-Lan Tai , Jiqiang Song
Jiqiang Song , Shijie Cai
Chiew-Lan Tai , Shijie Cai
Greg Mori , Serge Belongie
Greg Mori , Jitendra Malik
Jitendra Malik , Serge Belongie
Anil K. Jain , Guodong Guo
Guodong Guo , Wei-Ying Ma
Guodong Guo , HongJiang Zhang
Anil K. Jain , Wei-Ying Ma
Anil K. Jain , HongJiang Zhang
HongJiang Zhang , Wei-Ying Ma
Alfred M. Bruckstein , Ilya Blayvas
Ilya Blayvas , Ron Kimmel
Alfred M. Bruckstein , Ron Kimmel
Ira Cohen , Nemanja Petrovic
Brendan J. Frey , Nemanja Petrovic
Nemanja Petrovic , Ralf Koetter
Nemanja Petrovic , Thomas S. Huang
Brendan J. Frey , Ira Cohen
Ira Cohen , Ralf Koetter
Ira Cohen , Thomas S. Huang
Brendan J. Frey , Ralf Koetter
Brendan J. Frey , Thomas S. Huang
Ralf Koetter , Thomas S. Huang
Jie Zhou , Le-ping Xin
Dashan Gao , Jie Zhou
Changshui Zhang , Jie Zhou
David Zhang , Jie Zhou
Dashan Gao , Le-ping Xin
Changshui Zhang , Le-ping Xin
David Zhang , Le-ping Xin
Changshui Zhang , Dashan Gao
Dashan Gao , David Zhang
Changshui Zhang , David Zhang
Josef Kittler , Reza Ghaderi
Josef Kittler , Terry Windeatt
Jiri Matas , Josef Kittler
Reza Ghaderi , Terry Windeatt
Jiri Matas , Reza Ghaderi
Jiri Matas , Terry Windeatt
Christoph von der Malsburg , Kazunori Okada
Linda G. Shapiro , Salvador Ruiz-Correa
Marina Meila , Salvador Ruiz-Correa
Linda G. Shapiro , Marina Meila
Liyuan Li , Maylor K. H. Leung
Long Quan , Maxime Lhuillier
Harry Shum , Maxime Lhuillier
Hung-Tat Tsui , Maxime Lhuillier
Harry Shum , Long Quan
Hung-Tat Tsui , Long Quan
Harry Shum , Hung-Tat Tsui
Fr&eacute;d&eacute;ric Jurie , Michel Dhome
Salil Prabhakar , Sharath Pankanti
Anil K. Jain , Sharath Pankanti
Anil K. Jain , Salil Prabhakar
Matthew E. Antone , Seth J. Teller
Seth J. Teller , Zachary Bodnar
Michael Bosse , Seth J. Teller
Satyan R. Coorg , Seth J. Teller
Manish Jethwa , Seth J. Teller
Neel Master , Seth J. Teller
Matthew E. Antone , Zachary Bodnar
Matthew E. Antone , Michael Bosse
Matthew E. Antone , Satyan R. Coorg
Manish Jethwa , Matthew E. Antone
Matthew E. Antone , Neel Master
Michael Bosse , Zachary Bodnar
Satyan R. Coorg , Zachary Bodnar
Manish Jethwa , Zachary Bodnar
Neel Master , Zachary Bodnar
Michael Bosse , Satyan R. Coorg
Manish Jethwa , Michael Bosse
Michael Bosse , Neel Master
Manish Jethwa , Satyan R. Coorg
Neel Master , Satyan R. Coorg
Manish Jethwa , Neel Master
Matheen Siddiqui , R&oacute;mer Rosales
Jonathan Alon , R&oacute;mer Rosales
R&oacute;mer Rosales , Stan Sclaroff
Jonathan Alon , Matheen Siddiqui
Matheen Siddiqui , Stan Sclaroff
Jonathan Alon , Stan Sclaroff
Stan Z. Li , XinWen Hou
HongJiang Zhang , XinWen Hou
QianSheng Cheng , XinWen Hou
HongJiang Zhang , Stan Z. Li
QianSheng Cheng , Stan Z. Li
HongJiang Zhang , QianSheng Cheng
Richard Mann , Steve Mann
Gabriella Sanniti di Baja , Stina Svensson
Sven J. Dickinson , Yakov Keselman
Kazuma Shigenari , Takeshi Shakunaga
Robert T. Collins , Yanxi Liu
Anders Heyden , Yongduek Seo
Roberto Cipolla , Yongduek Seo
Anders Heyden , Roberto Cipolla
Amir Averbuch , Yaakov Tsaig
Anand Rangarajan , Haili Chui
Anand Rangarajan , Eric Mjolsness
Eric Mjolsness , Haili Chui
Andrea Selinger , Randal C. Nelson
Antonio Robles-Kelly , Bin Luo
Andrea Torsello , Bin Luo
Bin Luo , Richard C. Wilson
Bin Luo , Edwin R. Hancock
Andrea Torsello , Antonio Robles-Kelly
Antonio Robles-Kelly , Richard C. Wilson
Antonio Robles-Kelly , Edwin R. Hancock
Andrea Torsello , Richard C. Wilson
Andrea Torsello , Edwin R. Hancock
Edwin R. Hancock , Richard C. Wilson
Brett C. Jones , D. M. Wilkes
Chi-Keung Tang , Wai-Shun Tong
G&eacute;rard G. Medioni , Wai-Shun Tong
Chi-Keung Tang , G&eacute;rard G. Medioni
Dara Koozekanani , Kim L. Boyer
Cynthia Roberts , Dara Koozekanani
Dara Koozekanani , Steven Katz
Cynthia Roberts , Kim L. Boyer
Kim L. Boyer , Steven Katz
Cynthia Roberts , Steven Katz
David Guillamet , Marco Bressan
David Guillamet , Jordi Vitri&agrave;
Jordi Vitri&agrave; , Marco Bressan
David Tschumperl&eacute; , Rachid Deriche
Guo-Qing Wei , Jian Zhong Qian
Guo-Qing Wei , Helmuth Schramm
Helmuth Schramm , Jian Zhong Qian
Hong Hua , Narendra Ahuja
Hong Hua , Huaxin You
Huaxin You , Narendra Ahuja
Edward Y. Chang , Huaxin You
Hong Hua , Narendra Ahuja
Edward Y. Chang , Hong Hua
Edward Y. Chang , Narendra Ahuja
Isidro Robledo Vega , Sudeep Sarkar
Jacques Bride , Peter Meer
Guillaume Dugas-Phocion , Li Zhang
Jean-Sebastien Samson , Li Zhang
Li Zhang , Steven M. Seitz
Guillaume Dugas-Phocion , Jean-Sebastien Samson
Guillaume Dugas-Phocion , Steven M. Seitz
Jean-Sebastien Samson , Steven M. Seitz
David Guillamet , Marco Bressan
Jordi Vitri&agrave; , Marco Bressan
David Guillamet , Jordi Vitri&agrave;
Kristen Grauman , Margrit Betke
James Gips , Kristen Grauman
Gary R. Bradski , Kristen Grauman
James Gips , Margrit Betke
Gary R. Bradski , Margrit Betke
Gary R. Bradski , James Gips
Martial Hebert , Shyjan Mahamud
Shyjan Mahamud , Yasuhiro Omori
Jean Ponce , Shyjan Mahamud
Martial Hebert , Yasuhiro Omori
Jean Ponce , Martial Hebert
Jean Ponce , Yasuhiro Omori
Daphna Weinshall , Mi-Suen Lee
Eric Cohen-Solal , Mi-Suen Lee
Daphna Weinshall , Eric Cohen-Solal
Nikos Paragios , Visvanathan Ramesh
Kristin J. Dana , Oana G. Cula
Ohad Ben-Shahar , Steven W. Zucker
John M. Hannah , P. Hillman
David S. Renshaw , P. Hillman
David S. Renshaw , John M. Hannah
Haifeng Chen , Peter Meer
David E. Tyler , Haifeng Chen
David E. Tyler , Peter Meer
Jan-Olof Eklundh , Peter Nillius
Chew Lim Tan , Qian Wang
Iain Matthews , Simon Baker
Christian Vogler , Siome Goldenstein
Dimitris N. Metaxas , Siome Goldenstein
Christian Vogler , Dimitris N. Metaxas
Koichiro Deguchi , Takayuki Okatani
Christopher J. Taylor , Timothy F. Cootes
Koji Tsuda , Volker Roth
Lie Gu , Xiangrong Chen
Stan Z. Li , Xiangrong Chen
HongJiang Zhang , Xiangrong Chen
Lie Gu , Stan Z. Li
HongJiang Zhang , Lie Gu
HongJiang Zhang , Stan Z. Li
Robert T. Collins , Yanghai Tsin
Visvanathan Ramesh , Yanghai Tsin
Takeo Kanade , Yanghai Tsin
Robert T. Collins , Visvanathan Ramesh
Robert T. Collins , Takeo Kanade
Takeo Kanade , Visvanathan Ramesh
Tao Wang , Yong Rui
Shi-Min Hu , Tao Wang
Shi-Min Hu , Yong Rui
Ki-Sang Hong , Yongduek Seo
Fran&ccedil;ois Chaumette , Youcef Mezouar
Denis Gingras , Yves B&eacute;rub&eacute; Lauzi&egrave;re
Frank P. Ferrie , Yves B&eacute;rub&eacute; Lauzi&egrave;re
Denis Gingras , Frank P. Ferrie
Heung-Yeung Shum , Zhouchen Lin
Antonis A. Argyros , Kostas E. Bekris
Antonis A. Argyros , Stelios C. Orphanoudakis
Kostas E. Bekris , Stelios C. Orphanoudakis
Atsuto Maki , Hiroshi Hattori
Bernd Heisele , Thomas Serre
Bernd Heisele , Sayan Mukherjee
Bernd Heisele , Tomaso Poggio
Sayan Mukherjee , Thomas Serre
Thomas Serre , Tomaso Poggio
Sayan Mukherjee , Tomaso Poggio
Bisser Raytchev , Hiroshi Murase
Avideh Zakhor , Christian Fr&uuml;h
Daniel Keren , Margarita Osadchy
Margarita Osadchy , Yaniv Gal
Daniel Keren , Yaniv Gal
Alessandro Bissacco , Alessandro Chiuso
Alessandro Bissacco , Yi Ma
Alessandro Bissacco , Stefano Soatto
Alessandro Chiuso , Yi Ma
Alessandro Chiuso , Stefano Soatto
Stefano Soatto , Yi Ma
Gianfranco Doretto , Payam Saisan
Payam Saisan , Ying Nian Wu
Payam Saisan , Stefano Soatto
Gianfranco Doretto , Ying Nian Wu
Gianfranco Doretto , Stefano Soatto
Stefano Soatto , Ying Nian Wu
Hiroshi Kawasaki , Katsushi Ikeuchi
Hiroshi Kawasaki , Masao Sakauchi
Katsushi Ikeuchi , Masao Sakauchi
Hynek Bakstein , Tom&aacute;s Pajdla
Jezekiel Ben-Arie , Purvin Pandit
Jezekiel Ben-Arie , ShyamSundar Rajaram
Purvin Pandit , ShyamSundar Rajaram
Jiang Gao , Jie Yang
Kazunori Kato , Kenji Shoji
Fubito Toyama , Kenji Shoji
Fubito Toyama , Kazunori Kato
Krystian Mikolajczyk , Ragini Choudhury
Cordelia Schmid , Krystian Mikolajczyk
Cordelia Schmid , Ragini Choudhury
Laurent D. Cohen , Thomas Deschamps
Ankush Mittal , Loong Fah Cheong
Ankush Mittal , Leung Tung Sing
Leung Tung Sing , Loong Fah Cheong
Lie Gu , Stan Z. Li
HongJiang Zhang , Lie Gu
HongJiang Zhang , Stan Z. Li
Lihi Zelnik-Manor , Michal Irani
Masaki Onishi , Takehiko Kagebayashi
Kunio Fukunaga , Masaki Onishi
Kunio Fukunaga , Takehiko Kagebayashi
Masatoshi Okutomi , Yasuhiro Katayama
Masatoshi Okutomi , Setsuko Oka
Setsuko Oka , Yasuhiro Katayama
Rahul Sukthankar , Tat-Jen Cham
Gita Sukthankar , Rahul Sukthankar
Gita Sukthankar , Tat-Jen Cham
Fredrik Kahl , Richard I. Hartley
Fredrik Kahl , Kalle &Aring;str&ouml;m
Kalle &Aring;str&ouml;m , Richard I. Hartley
Ron O. Dror , Thomas K. Leung
Edward H. Adelson , Ron O. Dror
Alan S. Willsky , Ron O. Dror
Edward H. Adelson , Thomas K. Leung
Alan S. Willsky , Thomas K. Leung
Alan S. Willsky , Edward H. Adelson
Ko Nishino , Ryusuke Sagawa
Katsushi Ikeuchi , Ryusuke Sagawa
Katsushi Ikeuchi , Ko Nishino
David A. Forsyth , Sergey Ioffe
Shree K. Nayar , Srinivasa G. Narasimhan
Ramakant Nevatia , Tao Zhao
Fengjun Lv , Tao Zhao
Fengjun Lv , Ramakant Nevatia
Chandra Kambhamettu , Thitiwan Srinark
Horng-Horng Lin , Hwann-Tzong Chen
Hwann-Tzong Chen , Tyng-Luh Liu
Horng-Horng Lin , Tyng-Luh Liu
Tinne Tuytelaars , Vittorio Ferrari
Luc J. Van Gool , Vittorio Ferrari
Luc J. Van Gool , Tinne Tuytelaars
Rui Li , Wee Kheng Leow
Song Wang , Weiyu Zhu
Ruei-Sung Lin , Weiyu Zhu
Stephen E. Levinson , Weiyu Zhu
Ruei-Sung Lin , Song Wang
Song Wang , Stephen E. Levinson
Ruei-Sung Lin , Stephen E. Levinson
P. M. D. S. Pallawala , Wynne Hsu
Mong-Li Lee , Wynne Hsu
Kah-Guan Au Eong , Wynne Hsu
Mong-Li Lee , P. M. D. S. Pallawala
Kah-Guan Au Eong , P. M. D. S. Pallawala
Kah-Guan Au Eong , Mong-Li Lee
Ying Wu , Zhengyou Zhang
Thomas S. Huang , Ying Wu
John Y. Lin , Ying Wu
Thomas S. Huang , Zhengyou Zhang
John Y. Lin , Zhengyou Zhang
John Y. Lin , Thomas S. Huang
Shaogang Gong , Yongmin Li
Heather M. Liddell , Yongmin Li
Heather M. Liddell , Shaogang Gong
Brian Curless , Yung-Yu Chuang
David Salesin , Yung-Yu Chuang
Richard Szeliski , Yung-Yu Chuang
Brian Curless , David Salesin
Brian Curless , Richard Szeliski
David Salesin , Richard Szeliski
Andres Huertas , Zu Whan Kim
Ramakant Nevatia , Zu Whan Kim
Andres Huertas , Ramakant Nevatia
A. A. Clark , Barry T. Thomas
Aziz Umit Batur , Monson H. Hayes III
Kevin D. Petersen , William A. Barrett
Bjoern Stenger , Paulo R. S. Mendon&ccedil;a
Bjoern Stenger , Roberto Cipolla
Paulo R. S. Mendon&ccedil;a , Roberto Cipolla
Cen Rao , Mubarak Shah
&Ccedil;igdem Eroglu Erdem , B&uuml;lent Sankur
&Ccedil;igdem Eroglu Erdem , A. Murat Tekalp
A. Murat Tekalp , B&uuml;lent Sankur
Daniel Berwick , Sang Wook Lee
Daniel D. Morris , Ken-ichi Kanatani
Daniel D. Morris , Takeo Kanade
Ken-ichi Kanatani , Takeo Kanade
Danny Roobaert , Michael Zillich
Danny Roobaert , Jan-Olof Eklundh
Jan-Olof Eklundh , Michael Zillich
David J. Fleet , Oscar Nestares
Bogdan Matei , David J. Hirvonen
David J. Hirvonen , Richard P. Wildes
David J. Hirvonen , Steven C. Hsu
Bogdan Matei , Richard P. Wildes
Bogdan Matei , Steven C. Hsu
Richard P. Wildes , Steven C. Hsu
David W. Jacobs , Ronen Basri
Dimitri A. Chernyak , Lawrence W. Stark
Douglas R. Heisterkamp , Jing Peng
Douglas R. Heisterkamp , H. K. Dai
H. K. Dai , Jing Peng
Bastian Leibe , G&uuml;nter Hetzel
G&uuml;nter Hetzel , Paul Levi
Bernt Schiele , G&uuml;nter Hetzel
Bastian Leibe , Paul Levi
Bastian Leibe , Bernt Schiele
Bernt Schiele , Paul Levi
Imari Sato , Yoichi Sato
Imari Sato , Katsushi Ikeuchi
Katsushi Ikeuchi , Yoichi Sato
Amnon Krupnik , James H. Elder
Helder Ara&uacute;jo , Jo&atilde;o P. Barreto
Joost van de Weijer , Rein van den Boomgaard
Kobus Barnard , Pinar Duygulu
David A. Forsyth , Kobus Barnard
David A. Forsyth , Pinar Duygulu
Joachim M. Buhmann , Lothar Hermes
Eran Naftali , Margrit Betke
Margrit Betke , Nicholas C. Makris
Eran Naftali , Nicholas C. Makris
Maurice Ringer , Tom Drummond
Joan Lasenby , Maurice Ringer
Joan Lasenby , Tom Drummond
Larry S. Davis , Motilal Agrawal
Aly A. Farag , Moumen T. Ahmed
Camillo Gentile , Octavia I. Camps
Camillo Gentile , Mario Sznaier
Mario Sznaier , Octavia I. Camps
Min-Hwan Kim , Pong-Sik Ho
Paul A. Beardsley , Ramesh Raskar
Ashley Eden , Matthew Uyttendaele
Matthew Uyttendaele , Richard Szeliski
Ashley Eden , Richard Szeliski
Stephan Heuel , Wolfgang F&ouml;rstner
Richard Harvey , Stuart Gibson
John R. Kender , Tiecheng Liu
Yanghai Tsin , Yanxi Liu
Visvanathan Ramesh , Yanghai Tsin
Visvanathan Ramesh , Yanxi Liu
Harpreet S. Sawhney , Yanlin Guo
Rakesh Kumar , Yanlin Guo
Steven C. Hsu , Yanlin Guo
Harpreet S. Sawhney , Rakesh Kumar
Harpreet S. Sawhney , Steven C. Hsu
Rakesh Kumar , Steven C. Hsu
Dorin Comaniciu , Ying Zhu
Visvanathan Ramesh , Ying Zhu
Stuart C. Schwartz , Ying Zhu
Dorin Comaniciu , Visvanathan Ramesh
Dorin Comaniciu , Stuart C. Schwartz
Stuart C. Schwartz , Visvanathan Ramesh
Ahmed M. Elgammal , Ramani Duraiswami
Ahmed M. Elgammal , Larry S. Davis
Larry S. Davis , Ramani Duraiswami
Andrea Prati , Rita Cucchiara
Andrea Prati , Ivana Mikic
Andrea Prati , Mohan M. Trivedi
Ivana Mikic , Rita Cucchiara
Mohan M. Trivedi , Rita Cucchiara
Ivana Mikic , Mohan M. Trivedi
Max Mignotte , Said Benameur
Said Benameur , Stefan Parent
Hubert Labelle , Said Benameur
Said Benameur , Wafa Skalli
Jacques A. de Guise , Said Benameur
Max Mignotte , Stefan Parent
Hubert Labelle , Max Mignotte
Max Mignotte , Wafa Skalli
Jacques A. de Guise , Max Mignotte
Hubert Labelle , Stefan Parent
Stefan Parent , Wafa Skalli
Jacques A. de Guise , Stefan Parent
Hubert Labelle , Wafa Skalli
Hubert Labelle , Jacques A. de Guise
Jacques A. de Guise , Wafa Skalli
Benjamin B. Kimia , Weixin Kong
Bir Bhanu , Xuejun Tan
Chi-Ren Shyu , Pascal Matsakis
Chris Buehler , Michael Bosse
Chris Buehler , Leonard McMillan
Leonard McMillan , Michael Bosse
Christopher E. Smith , Douglas P. Perrin
Datong Chen , Herv&eacute; Bourlard
Datong Chen , Jean-Philippe Thiran
Herv&eacute; Bourlard , Jean-Philippe Thiran
Andrew Zisserman , David P. Capel
Elli Angelopoulou , Rana Molana
Elli Angelopoulou , Kostas Daniilidis
Kostas Daniilidis , Rana Molana
Fernando De la Torre , Michael J. Black
Guido Gerig , Martin Styner
Anders Heyden , Henrik Malm
Huei-Yung Lin , Murali Subbarao
Andrew J. Davison , Jonathan Deutscher
Ian D. Reid , Jonathan Deutscher
Andrew J. Davison , Ian D. Reid
Kar-Han Tan , Narendra Ahuja
Nitesh V. Chawla , Thomas E. Moore
Kevin W. Bowyer , Nitesh V. Chawla
Lawrence O. Hall , Nitesh V. Chawla
Clayton Springer , Nitesh V. Chawla
Nitesh V. Chawla , W. Philip Kegelmeyer
Kevin W. Bowyer , Thomas E. Moore
Lawrence O. Hall , Thomas E. Moore
Clayton Springer , Thomas E. Moore
Thomas E. Moore , W. Philip Kegelmeyer
Kevin W. Bowyer , Lawrence O. Hall
Clayton Springer , Kevin W. Bowyer
Kevin W. Bowyer , W. Philip Kegelmeyer
