Anthony D. Worrall , Arthur E. C. Pece
Carine Hue , Michel Gangnet
Jaco Vermaak , Michel Gangnet
&Eacute;tienne M&eacute;min , Thomas Corpetti
Patrick P&eacute;rez , Thomas Corpetti
&Eacute;tienne M&eacute;min , Patrick P&eacute;rez
Allan D. Jepson , David J. Fleet
Allan D. Jepson , Michael J. Black
David J. Fleet , Michael J. Black
Luis &Aacute;lvarez , Rachid Deriche
Luis &Aacute;lvarez , Th&eacute;odore Papadopoulo
Javier S&aacute;nchez , Luis &Aacute;lvarez
Rachid Deriche , Th&eacute;odore Papadopoulo
Javier S&aacute;nchez , Rachid Deriche
Javier S&aacute;nchez , Th&eacute;odore Papadopoulo
Hagai Attias , Matthew J. Beal
Matthew J. Beal , Nebojsa Jojic
Hagai Attias , Nebojsa Jojic
Eli Shechtman , Yaron Caspi
Eli Shechtman , Michal Irani
Michal Irani , Yaron Caspi
Bill Triggs , Cristian Sminchisescu
Hedvig Sidenbladh , Michael J. Black
Hedvig Sidenbladh , Leonid Sigal
Leonid Sigal , Michael J. Black
Christoph Bregler , Lorenzo Torresani
Aleksandra Mojsilovic , Jos&eacute; Gomes
Hailin Jin , Paolo Favaro
Johnny T. Chang , Yizhou Yu
Ondrej Drbohlav , Radim S&aacute;ra
Antonio Robles-Kelly , Edwin R. Hancock
Mika&euml;l Rousson , Nikos Paragios
Daniel Cremers , Timo Kohlberger
Christoph Schn&ouml;rr , Daniel Cremers
Christoph Schn&ouml;rr , Timo Kohlberger
Eran Borenstein , Shimon Ullman
Long Quan , Maxime Lhuillier
Christopher Geyer , Konstantinos Daniilidis
Duncan P. Robertson , Roberto Cipolla
Christoph Strecha , Luc J. Van Gool
Kurt Cornelis , Marc Pollefeys
Kurt Cornelis , Luc J. Van Gool
Luc J. Van Gool , Marc Pollefeys
Kun Huang , Robert M. Fossum
Kun Huang , Yi Ma
Robert M. Fossum , Yi Ma
Fabian Ernst , Piotr Wilinski
Cornelius W. A. M. van Overveld , Fabian Ernst
Cornelius W. A. M. van Overveld , Piotr Wilinski
Jo&atilde;o Costeira , Jo&atilde;o Maciel
Robin D. Morris , Vadim N. Smelyansky
F. O. Kuehnel , Vadim N. Smelyansky
David A. Maluf , Vadim N. Smelyansky
Peter Cheeseman , Vadim N. Smelyansky
F. O. Kuehnel , Robin D. Morris
David A. Maluf , Robin D. Morris
Peter Cheeseman , Robin D. Morris
David A. Maluf , F. O. Kuehnel
F. O. Kuehnel , Peter Cheeseman
David A. Maluf , Peter Cheeseman
Jean-Marc V&eacute;zien , Pierre-Louis Bazin
Gang Qian , Rama Chellappa
Bogdan Georgescu , Peter Meer
Carsten Rother , Stefan Carlsson
Pascal Fua , Ralf Pl&auml;nkers
Daniel Martinec , Tom&aacute;s Pajdla
Assaf Zomet , Lior Wolf
John Oliensis , Ren&eacute; Vidal
Amnon Shashua , Anat Levin
Dana Cobzas , Martin J&auml;gersand
Richard I. Hartley , Robert Kaucic
Fredrik Kahl , Richard I. Hartley
Camillo J. Taylor , David Jelinek
Ruigang Yang , Zhengyou Zhang
Heung-Yeung Shum , Jian Sun
Jian Sun , Nanning Zheng
Heung-Yeung Shum , Nanning Zheng
Daniel Scharstein , Richard Szeliski
Andrew Zisserman , Tom&aacute;s Werner
Chandra Kambhamettu , Ye Zhang
Joris Vanden Wyngaerd , Luc J. Van Gool
Gregory C. Sharp , Sang Wook Lee
David K. Wehe , Gregory C. Sharp
David K. Wehe , Sang Wook Lee
George Kamberov , Gerda Kamberova
Lyle Noakes , Ryszard Kozera
Edwin R. Hancock , Hossein Ragheb
Bernard Chazelle , Michael M. Kazhdan
David P. Dobkin , Michael M. Kazhdan
Adam Finkelstein , Michael M. Kazhdan
Michael M. Kazhdan , Thomas A. Funkhouser
Bernard Chazelle , David P. Dobkin
Adam Finkelstein , Bernard Chazelle
Bernard Chazelle , Thomas A. Funkhouser
Adam Finkelstein , David P. Dobkin
David P. Dobkin , Thomas A. Funkhouser
Adam Finkelstein , Thomas A. Funkhouser
Robert T. Collins , Yanxi Liu
Yanghai Tsin , Yanxi Liu
Robert T. Collins , Yanghai Tsin
Roger C. Tam , Wolfgang Heidrich
Ce Liu , Heung-Yeung Shum
Ce Liu , Changshui Zhang
Changshui Zhang , Heung-Yeung Shum
Pascal Fua , Slobodan Ilic
Benjamin B. Kimia , Peter J. Giblin
Paolo Favaro , Stefano Soatto
Jovisa D. Zunic , Paul L. Rosin
Pietro Perona , Silvio Savarese
Mika&euml;l Rousson , Nikos Paragios
Nikos Paragios , Visvanathan Ramesh
Mika&euml;l Rousson , Visvanathan Ramesh
Emmanuel Prados , Olivier D. Faugeras
Elisabeth Rouy , Emmanuel Prados
Elisabeth Rouy , Olivier D. Faugeras
Andrea Fusiello , Umberto Castellani
Andrea Fusiello , Lucca Ronchetti
Andrea Fusiello , Vittorio Murino
Lucca Ronchetti , Umberto Castellani
Umberto Castellani , Vittorio Murino
Lucca Ronchetti , Vittorio Murino
Jeremy Yermiyahou Kaminski , Mina Teicher
Frank Verbiest , Marc Pollefeys
Luc J. Van Gool , Marc Pollefeys
Frank Verbiest , Luc J. Van Gool
Anthony R. Dick , Philip H. S. Torr
Anthony R. Dick , Roberto Cipolla
Philip H. S. Torr , Roberto Cipolla
Michal Irani , Tal Hassner
Michal Irani , P. Anandan
P. Anandan , Tal Hassner
Carole J. Twining , Rhodri H. Davies
Rhodri H. Davies , Timothy F. Cootes
John C. Waterton , Rhodri H. Davies
Christopher J. Taylor , Rhodri H. Davies
Carole J. Twining , Timothy F. Cootes
Carole J. Twining , John C. Waterton
Carole J. Twining , Christopher J. Taylor
John C. Waterton , Timothy F. Cootes
Christopher J. Taylor , Timothy F. Cootes
Christopher J. Taylor , John C. Waterton
Gianluca Donato , Serge Belongie
Anthony J. Yezzi , Stefano Soatto
Alessandro Duci , Anthony J. Yezzi
Alessandro Duci , Sanjoy K. Mitter
Alessandro Duci , Stefano Soatto
Anthony J. Yezzi , Sanjoy K. Mitter
Anthony J. Yezzi , Stefano Soatto
Sanjoy K. Mitter , Stefano Soatto
Ramin Zabih , Vladimir Kolmogorov
Ramin Zabih , Vladimir Kolmogorov
David J. Fleet , Rahul Bhotika
Kiriakos N. Kutulakos , Rahul Bhotika
David J. Fleet , Kiriakos N. Kutulakos
Amund Skavhaug , John Reidar Mathiassen
John Reidar Mathiassen , Ketil B&oslash;
Amund Skavhaug , Ketil B&oslash;
Chi Wang , Srinivasa G. Narasimhan
Shree K. Nayar , Srinivasa G. Narasimhan
Chi Wang , Shree K. Nayar
Pascal Fua , Quang-Tuan Luong
Quang-Tuan Luong , Yvan G. Leclerc
Pascal Fua , Yvan G. Leclerc
Alexey Zalesny , Vittorio Ferrari
Alexey Zalesny , Geert Caenen
Alexey Zalesny , Dominik Auf der Maur
Alexey Zalesny , Luc J. Van Gool
Geert Caenen , Vittorio Ferrari
Dominik Auf der Maur , Vittorio Ferrari
Luc J. Van Gool , Vittorio Ferrari
Dominik Auf der Maur , Geert Caenen
Geert Caenen , Luc J. Van Gool
Dominik Auf der Maur , Luc J. Van Gool
Akiko Nakashima , Atsuto Maki
Akiko Nakashima , Kazuhiro Fukui
Atsuto Maki , Kazuhiro Fukui
Stephen Lin , Yuanzhen Li
Sing Bing Kang , Stephen Lin
Stephen Lin , Xin Tong
Heung-Yeung Shum , Stephen Lin
Sing Bing Kang , Yuanzhen Li
Xin Tong , Yuanzhen Li
Heung-Yeung Shum , Yuanzhen Li
Sing Bing Kang , Xin Tong
Heung-Yeung Shum , Sing Bing Kang
Heung-Yeung Shum , Xin Tong
Song Chun Zhu , Ying Nian Wu
Cheng-en Guo , Ying Nian Wu
Cheng-en Guo , Song Chun Zhu
Andrew Zisserman , Manik Varma
Dimitris Samaras , Yang Wang
M. Schmidt , Mike J. Chantler
Maria Petrou , Mike J. Chantler
Ged McGunnigle , Mike J. Chantler
M. Schmidt , Maria Petrou
Ged McGunnigle , M. Schmidt
Ged McGunnigle , Maria Petrou
Andrew W. Fitzgibbon , Andrew Zisserman
Junhwan Kim , Ramin Zabih
Michel Barlaud , St&eacute;phanie Jehan-Besson
Gilles Aubert , St&eacute;phanie Jehan-Besson
Gilles Aubert , Michel Barlaud
Benny P. L. Lo , Guang-Zhong Yang
Song Chun Zhu , Zhuowen Tu
Jordi Freixenet , Xavier Mu&ntilde;oz
David Raba , Jordi Freixenet
Joan Mart&iacute; , Jordi Freixenet
Jordi Freixenet , Xavier Cuf&iacute;
David Raba , Xavier Mu&ntilde;oz
Joan Mart&iacute; , Xavier Mu&ntilde;oz
Xavier Cuf&iacute; , Xavier Mu&ntilde;oz
David Raba , Joan Mart&iacute;
David Raba , Xavier Cuf&iacute;
Joan Mart&iacute; , Xavier Cuf&iacute;
G&eacute;rard G. Medioni , Mircea Nicolescu
Benjamin Taton , Jacques-Olivier Lachaud
James M. Coughlan , Sabino J. Ferreira
Eric Hayman , Jan-Olof Eklundh
Andrew W. Fitzgibbon , Yonatan Wexler
Andrew Zisserman , Yonatan Wexler
Andrew W. Fitzgibbon , Andrew Zisserman
Feng Han , Zhuowen Tu
Feng Han , Song Chun Zhu
Song Chun Zhu , Zhuowen Tu
Chandrajit L. Bajaj , Zeyun Yu
Charless Fowlkes , Serge Belongie
Fan R. K. Chung , Serge Belongie
Jitendra Malik , Serge Belongie
Charless Fowlkes , Fan R. K. Chung
Charless Fowlkes , Jitendra Malik
Fan R. K. Chung , Jitendra Malik
Dorin Comaniciu , Visvanathan Ramesh
Alessio Del Bue , Dorin Comaniciu
Alessio Del Bue , Visvanathan Ramesh
Lothar Hermes , Thomas Z&ouml;ller
Joachim M. Buhmann , Lothar Hermes
Joachim M. Buhmann , Thomas Z&ouml;ller
John W. Fisher III , Trevor Darrell
James C. Gee , Mariano Rivera
Amnon Shashua , Anat Levin
Amit Sethi , Svetlana Lazebnik
Cordelia Schmid , Svetlana Lazebnik
David J. Kriegman , Svetlana Lazebnik
Jean Ponce , Svetlana Lazebnik
Martial Hebert , Svetlana Lazebnik
Amit Sethi , Cordelia Schmid
Amit Sethi , David J. Kriegman
Amit Sethi , Jean Ponce
Amit Sethi , Martial Hebert
Cordelia Schmid , David J. Kriegman
Cordelia Schmid , Jean Ponce
Cordelia Schmid , Martial Hebert
David J. Kriegman , Jean Ponce
David J. Kriegman , Martial Hebert
Jean Ponce , Martial Hebert
Greg Mori , Jitendra Malik
Rama Chellappa , Shaohua Kevin Zhou
Daniel DeMenthon , Philip David
Philip David , Ramani Duraiswami
Hanan Samet , Philip David
Daniel DeMenthon , Ramani Duraiswami
Daniel DeMenthon , Hanan Samet
Hanan Samet , Ramani Duraiswami
Panos Giannopoulos , Remco C. Veltkamp
Philip N. Klein , Thomas B. Sebastian
Benjamin B. Kimia , Thomas B. Sebastian
Benjamin B. Kimia , Philip N. Klein
Ali Shokoufandeh , Sven J. Dickinson
Ali Shokoufandeh , Clas J&ouml;nsson
Ali Shokoufandeh , Lars Bretzner
Ali Shokoufandeh , Tony Lindeberg
Clas J&ouml;nsson , Sven J. Dickinson
Lars Bretzner , Sven J. Dickinson
Sven J. Dickinson , Tony Lindeberg
Clas J&ouml;nsson , Lars Bretzner
Clas J&ouml;nsson , Tony Lindeberg
Lars Bretzner , Tony Lindeberg
Martial Hebert , Shyjan Mahamud
John D. Lafferty , Shyjan Mahamud
John D. Lafferty , Martial Hebert
Gerd Hirzinger , Ulrich Hillenbrand
Olivier G&eacute;rard , Thomas Deschamps
Myriam Greff , Olivier G&eacute;rard
Laurent D. Cohen , Olivier G&eacute;rard
Myriam Greff , Thomas Deschamps
Laurent D. Cohen , Thomas Deschamps
Laurent D. Cohen , Myriam Greff
Andrea Torsello , Edwin R. Hancock
Gregory Shakhnarovich , John W. Fisher III
Gregory Shakhnarovich , Trevor Darrell
John W. Fisher III , Trevor Darrell
Peter N. Belhumeur , Todd Zickler
David J. Kriegman , Todd Zickler
David J. Kriegman , Peter N. Belhumeur
Chris Buehler , Steven J. Gortler
Chris Buehler , Michael F. Cohen
Chris Buehler , Leonard McMillan
Michael F. Cohen , Steven J. Gortler
Leonard McMillan , Steven J. Gortler
Leonard McMillan , Michael F. Cohen
Sami Romdhani , Volker Blanz
Sami Romdhani , Thomas Vetter
Thomas Vetter , Volker Blanz
Annalisa Barla , Francesca Odone
Alessandro Verri , Annalisa Barla
Alessandro Verri , Francesca Odone
Henk L. Muller , Mark Everingham
Barry T. Thomas , Mark Everingham
Barry T. Thomas , Henk L. Muller
Bernt Schiele , Julia Vogel
Long Zhu , Stan Z. Li
Stan Z. Li , ZhenQiu Zhang
Andrew Blake , Stan Z. Li
HongJiang Zhang , Stan Z. Li
Harry Shum , Stan Z. Li
Long Zhu , ZhenQiu Zhang
Andrew Blake , Long Zhu
HongJiang Zhang , Long Zhu
Harry Shum , Long Zhu
Andrew Blake , ZhenQiu Zhang
HongJiang Zhang , ZhenQiu Zhang
Harry Shum , ZhenQiu Zhang
Andrew Blake , HongJiang Zhang
Andrew Blake , Harry Shum
Harry Shum , HongJiang Zhang
Christopher K. I. Williams , Nicholas J. Adams
Kobus Barnard , Pinar Duygulu
Jo&atilde;o F. G. de Freitas , Pinar Duygulu
David A. Forsyth , Pinar Duygulu
Jo&atilde;o F. G. de Freitas , Kobus Barnard
David A. Forsyth , Kobus Barnard
David A. Forsyth , Jo&atilde;o F. G. de Freitas
Dan Roth , Shivani Agarwal
Charles R. Dyer , Russell A. Manning
J. Deutscher , Michael Isard
J. Deutscher , John MacCormick
John MacCormick , Michael Isard
Michael D. Grossberg , Shree K. Nayar
Chandra Kambhamettu , Wei Zhou
Edmond Boyer , Marta Wilczkowiak
Marta Wilczkowiak , Peter F. Sturm
Edmond Boyer , Peter F. Sturm
Helder Ara&uacute;jo , Jo&atilde;o P. Barreto
Alain Crouzil , Pierre Gurdjos
Pierre Gurdjos , Ren&eacute; Payrissat
Alain Crouzil , Ren&eacute; Payrissat
Frank P. Ferrie , Marcel Mitran
Adnan Ansar , Konstantinos Daniilidis
Alvin Harvey Kam , Wenmiao Lu
Alvin Harvey Kam , Wei-Yun Yau
Wei-Yun Yau , Wenmiao Lu
Fran&ccedil;ois Chaumette , Gr&eacute;gory Flandin
Mubarak Shah , Omar Javed
Haim Schweitzer , J. W. Bell
Feng Wu , Haim Schweitzer
Feng Wu , J. W. Bell
Nils T. Siebel , Stephen J. Maybank
Aya Aner , John R. Kender
John R. Kender , Tiecheng Liu
S&eacute;bastien Granger , Xavier Pennec
Florica Mindru , Theo Moons
Florica Mindru , Luc J. Van Gool
Luc J. Van Gool , Theo Moons
Hayit Greenspan , Jacob Goldberger
Arnaldo Mayer , Hayit Greenspan
Arnaldo Mayer , Jacob Goldberger
Jana Koseck&aacute; , Wei Zhang
Alireza Osareh , Majid Mirmehdi
Alireza Osareh , Barry T. Thomas
Alireza Osareh , Richard Markham
Barry T. Thomas , Majid Mirmehdi
Majid Mirmehdi , Richard Markham
Barry T. Thomas , Richard Markham
Jim Graham , Mike Rogers
Fr&eacute;d&eacute;ric J. P. Richard , Laurent D. Cohen
Baba C. Vemuri , Yunmei Chen
Baba C. Vemuri , Zhizhou Wang
Yunmei Chen , Zhizhou Wang
Baba C. Vemuri , Jos&eacute; L. Marroqu&iacute;n
Jos&eacute; L. Marroqu&iacute;n , Salvador Botello
F&eacute;lix Calder&oacute;n , Jos&eacute; L. Marroqu&iacute;n
Baba C. Vemuri , Salvador Botello
Baba C. Vemuri , F&eacute;lix Calder&oacute;n
F&eacute;lix Calder&oacute;n , Salvador Botello
Anthony J. Yezzi , Jerry L. Prince
Visvanathan Ramesh , Xiang Gao
Terrance E. Boult , Xiang Gao
Terrance E. Boult , Visvanathan Ramesh
Fadi Dornaika , James H. Elder
Neil A. Thacker , Timothy F. Cootes
Christopher J. Taylor , Timothy F. Cootes
Christopher J. Taylor , Neil A. Thacker
Shree K. Nayar , Srinivasa G. Narasimhan
Fernando De la Torre , Michael J. Black
Jeffrey Ng , Shaogang Gong
Dan Roth , Ming-Hsuan Yang
Ming-Hsuan Yang , Narendra Ahuja
Dan Roth , Narendra Ahuja
Cordelia Schmid , R&eacute;mi Ronfard
Bill Triggs , R&eacute;mi Ronfard
Bill Triggs , Cordelia Schmid
Brendan J. Frey , Chris Pal
Chris Pal , Nebojsa Jojic
Brendan J. Frey , Nebojsa Jojic
Shaohua Kevin Zhou , Volker Kr&uuml;ger
Jan Wieghardt , Rolf P. W&uuml;rtz
Christoph von der Malsburg , Jan Wieghardt
Christoph von der Malsburg , Rolf P. W&uuml;rtz
Danijel Skocaj , Horst Bischof
Ales Leonardis , Danijel Skocaj
Ales Leonardis , Horst Bischof
Noam Shental , Tomer Hertz
Daphna Weinshall , Noam Shental
Misha Pavel , Noam Shental
Daphna Weinshall , Tomer Hertz
Misha Pavel , Tomer Hertz
Daphna Weinshall , Misha Pavel
Cheng-en Guo , Song Chun Zhu
Song Chun Zhu , Ying Nian Wu
Song Chun Zhu , Yizhou Wang
Cheng-en Guo , Ying Nian Wu
Cheng-en Guo , Yizhou Wang
Ying Nian Wu , Yizhou Wang
Jan J. Koenderink , Sylvia C. Pont
Graham D. Finlayson , Steven D. Hordley
Graham D. Finlayson , Mark S. Drew
Mark S. Drew , Steven D. Hordley
David Madigan , Greg Ridgeway
Fatemah A. Alqallaf , Kjell P. Konis
Fatemah A. Alqallaf , R. Douglas Martin
Fatemah A. Alqallaf , Ruben H. Zamar
Kjell P. Konis , R. Douglas Martin
Kjell P. Konis , Ruben H. Zamar
R. Douglas Martin , Ruben H. Zamar
Kristin P. Bennett , Michinari Momma
Kristin P. Bennett , Mark J. Embrechts
Mark J. Embrechts , Michinari Momma
Pang-Ning Tan , Vipin Kumar
Jaideep Srivastava , Pang-Ning Tan
Jaideep Srivastava , Vipin Kumar
Cristian Bucila , Johannes Gehrke
Cristian Bucila , Daniel Kifer
Cristian Bucila , Walker M. White
Daniel Kifer , Johannes Gehrke
Johannes Gehrke , Walker M. White
Daniel Kifer , Walker M. White
Alexander Tuzhilin , Bing Liu
Matthew Richardson , Pedro Domingos
Christopher R. Palmer , Phillip B. Gibbons
Christopher R. Palmer , Christos Faloutsos
Christos Faloutsos , Phillip B. Gibbons
Eamonn J. Keogh , Shruti Kasetty
Chris Stolte , Diane Tang
Chris Stolte , Pat Hanrahan
Diane Tang , Pat Hanrahan
Helge Ritter , J&ouml;rg A. Walter
Corin R. Anderson , Pedro Domingos
Corin R. Anderson , Daniel S. Weld
Daniel S. Weld , Pedro Domingos
Darya Chudova , Padhraic Smyth
Alejandro Murua , Jeremy Tantrum
Jeremy Tantrum , Werner Stuetzle
Alejandro Murua , Werner Stuetzle
Inderjit S. Dhillon , Subramanyam Mallela
Inderjit S. Dhillon , Rahul Kumar
Rahul Kumar , Subramanyam Mallela
Canasai Kruengkrai , Chuleerat Jaruskulchai
Haoran Wu , Tong-Heng Phang
Bing Liu , Haoran Wu
Haoran Wu , Xiaoli Li
Bing Liu , Tong-Heng Phang
Tong-Heng Phang , Xiaoli Li
Bing Liu , Xiaoli Li
Alexandre V. Evfimievski , Ramakrishnan Srikant
Alexandre V. Evfimievski , Rakesh Agrawal
Alexandre V. Evfimievski , Johannes Gehrke
Rakesh Agrawal , Ramakrishnan Srikant
Johannes Gehrke , Ramakrishnan Srikant
Johannes Gehrke , Rakesh Agrawal
Junqiang Liu , Yunhe Pan
Junqiang Liu , Ke Wang
Jiawei Han , Junqiang Liu
Ke Wang , Yunhe Pan
Jiawei Han , Yunhe Pan
Jiawei Han , Ke Wang
Hwanjo Yu , Jiawei Han
Hwanjo Yu , Kevin Chen-Chuan Chang
Jiawei Han , Kevin Chen-Chuan Chang
Hans-Peter Kriegel , Martin Ester
Martin Ester , Matthias Schubert
Hans-Peter Kriegel , Matthias Schubert
Edwin P. D. Pednault , Naoki Abe
Bianca Zadrozny , Edwin P. D. Pednault
Bianca Zadrozny , Naoki Abe
Anuradha Bhamidipaty , Sunita Sarawagi
Ayhan Demiriz , Kristin P. Bennett
Kristin P. Bennett , Richard Maclin
Ayhan Demiriz , Richard Maclin
Mahesh V. Joshi , Ramesh C. Agarwal
Mahesh V. Joshi , Vipin Kumar
Ramesh C. Agarwal , Vipin Kumar
Aleksander Kolcz , Xiaomei Sun
Aleksander Kolcz , Jugal K. Kalita
Jugal K. Kalita , Xiaomei Sun
Eleni Stroulia , Mohammad El-Ramly
Mohammad El-Ramly , Paul G. Sorenson
Eleni Stroulia , Paul G. Sorenson
Andrew Storey , Marc-David Cohen
Einat Neumann , Saharon Rosset
Saharon Rosset , Uri Eick
Nurit Vatnik , Saharon Rosset
Saharon Rosset , Yizhak Idan
Einat Neumann , Uri Eick
Einat Neumann , Nurit Vatnik
Einat Neumann , Yizhak Idan
Nurit Vatnik , Uri Eick
Uri Eick , Yizhak Idan
Nurit Vatnik , Yizhak Idan
Kenji Yamanishi , Satoshi Morinaga
Kenji Tateishi , Satoshi Morinaga
Satoshi Morinaga , Toshikazu Fukushima
Kenji Tateishi , Kenji Yamanishi
Kenji Yamanishi , Toshikazu Fukushima
Kenji Tateishi , Toshikazu Fukushima
Craig A. Knoblock , Sheila Tejada
Sheila Tejada , Steven Minton
Craig A. Knoblock , Steven Minton
Naval K. Verma , Sholom M. Weiss
Klaus Julisch , Marc Dacier
Matthew V. Mahoney , Philip K. Chan
Karlton Sequeira , Mohammed Javeed Zaki
Alexander Tuzhilin , Gediminas Adomavicius
Patrick Glenisson , Peter Antal
Geert Fannes , Peter Antal
Geert Fannes , Patrick Glenisson
Arpad Kelemen , Yulan Liang
Jason Flannick , Jay Ayres
Jay Ayres , Johannes Gehrke
Jay Ayres , Tomi Yiu
Jason Flannick , Johannes Gehrke
Jason Flannick , Tomi Yiu
Johannes Gehrke , Tomi Yiu
Florian Beil , Martin Ester
Florian Beil , Xiaowei Xu
Martin Ester , Xiaowei Xu
Johannes Gehrke , Shai Ben-David
Reba Schuller , Shai Ben-David
Johannes Gehrke , Reba Schuller
Ella Bingham , Heikki Mannila
Ella Bingham , Jouni K. Sepp&auml;nen
Heikki Mannila , Jouni K. Sepp&auml;nen
Bin Chen , Peter J. Haas
Bin Chen , Peter Scheuermann
Peter J. Haas , Peter Scheuermann
Bin Chen , Christina Yip Chung
Jacob Richman , William W. Cohen
Alin Dobra , Johannes Gehrke
Terence Critchlow , Tina Eliassi-Rad
Ghaleb Abdulla , Tina Eliassi-Rad
Ghaleb Abdulla , Terence Critchlow
Bin Fang , Wynne Hsu
Bin Fang , Mong-Li Lee
Mong-Li Lee , Wynne Hsu
Dimitris Fragoudis , Dimitris Meretakis
Dimitris Fragoudis , Spiros Likothanassis
Dimitris Meretakis , Spiros Likothanassis
Shantanu Godbole , Sunita Sarawagi
Shantanu Godbole , Soumen Chakrabarti
Soumen Chakrabarti , Sunita Sarawagi
Trong Dung Nguyen , Tu Bao Ho
DucDung Nguyen , Tu Bao Ho
DucDung Nguyen , Trong Dung Nguyen
Geoff Hulten , Pedro Domingos
Jayanth Nayak , Srinivasan Jagannathan
Kevin C. Almeroth , Srinivasan Jagannathan
Markus Hofmann , Srinivasan Jagannathan
Jayanth Nayak , Kevin C. Almeroth
Jayanth Nayak , Markus Hofmann
Kevin C. Almeroth , Markus Hofmann
Glen Jeh , Jennifer Widom
Xiaoming Jin , Yuchang Lu
Chunyi Shi , Xiaoming Jin
Chunyi Shi , Yuchang Lu
Eamonn J. Keogh , Stefano Lonardi
